X,Y,Z
-530,1342,397
-508,1352,397
-530,1342,362
-518,1355,345
-535,1352,321
-511,1370,301
-518,1367,253
-527,1362,195
-532,1362,182
-526,1383,185
-532,1357,126
-530,1365,101
-570,1355,88
-562,1350,62
-577,1342,35
-587,1337,12
-550,1330,17
-585,1330,-15
-592,1308,-88
-585,1293,-126
-607,1281,-116
-602,1301,-138
-607,1291,-158
-605,1271,-172
-595,1256,-185
-620,1225,-222
-610,1245,-240
-602,1242,-261
-585,1258,-266
-600,1242,-256
-595,1245,-246
-592,1266,-237
-590,1261,-253
-597,1255,-232
-615,1245,-271
-622,1227,-273
-612,1225,-311
-617,1210,-327
-592,1207,-337
-600,1186,-365
-595,1163,-382
-587,1166,-385
-577,1176,-395
-580,1183,-390
-580,1158,-400
-575,1168,-413
-580,1136,-436
-577,1136,-461
-602,1100,-500
-612,1056,-535
-615,1026,-517
-620,987,-601
-636,945,-650
-633,872,-675
-656,837,-705
-668,761,-756
-646,732,-781
-678,661,-812
-673,641,-815
-671,580,-845
-678,516,-840
-696,480,-835
-698,447,-857
-668,433,-872
-698,386,-916
-693,376,-890
-691,370,-898
-701,315,-913
-663,325,-885
-671,296,-911
-678,281,-896
-678,256,-911
-686,250,-908
-691,207,-908
-688,168,-908
-668,187,-908
-691,143,-918
-701,115,-908
-698,87,-916
-688,90,-911
-698,65,-926
-698,65,-918
-728,56,-901
-721,48,-898
-721,65,-893
-708,1,-913
-721,-33,-890
-745,-53,-862
-737,-102,-870
-757,-143,-867
-757,-166,-865
-742,-187,-865
-760,-250,-837
-757,-283,-825
-747,-276,-822
-742,-288,-830
-737,-291,-808
-733,-320,-812
-740,-337,-815
-736,-315,-806
-731,-322,-812
-716,-342,-793
-747,-360,-798
-760,-370,-808
-740,-398,-758
-752,-418,-801
-745,-423,-778
-747,-428,-771
-740,-440,-756
-750,-428,-753
-742,-465,-733
-733,-465,-725
-752,-460,-738
-750,-487,-733
-752,-495,-725
-757,-492,-731
-762,-508,-715
-740,-531,-715
-760,-533,-700
-736,-523,-672
-772,-548,-670
-767,-567,-672
-760,-577,-665
-767,-592,-650
-767,-595,-633
-775,-610,-621
-745,-615,-638
-755,-622,-608
-775,-643,-611
-767,-643,-608
-750,-651,-606
-790,-676,-618
-775,-661,-583
-775,-692,-568
-785,-707,-547
-787,-692,-527
-790,-712,-522
-790,-745,-492
-790,-758,-497
-795,-752,-468
-800,-745,-466
-810,-753,-433
-800,-783,-436
-805,-796,-453
-797,-781,-438
-800,-773,-428
-797,-791,-431
-802,-783,-411
-795,-808,-408
-807,-808,-426
-810,-803,-413
-800,-798,-367
-827,-801,-397
-805,-813,-408
-795,-811,-402
-800,-811,-390
-792,-815,-392
-815,-791,-385
-807,-817,-402
-802,-811,-362
